No;NamaJalur;Asal
1;PBB Rantau Kuantan;Pl Pj Hilir/INM
2;Raja Kuantan;Pl Madinah/KH
3;Upae Saghok Ghimbo Dusun;Kepala Pulau/KH
4;Bintang Muda Canang Nagori;Seb Sungai/GT
5;Kibasan Nago Liar;Lb Terentang/GT
6;Siluman Ular Batu Dulang;Sangau/KM
7;Tuah Putri Kuntum Bunga Andini A;Kepala Pulau/KH
8;Batu Lompatan Harimau Kompe;Kinali/KM
9;Keramat Limpato Tigo Muaro;Kp Baru Koto/INM
10;Panah Ombak Sutan Mudo Indragiri;Sukamaju/INHU
11;Samurai Jopang Bukik Tantunggang;Pl Kedundung/KT
12;Ghajo Siluman Sungai Tonam;Pl Sipan/INM
13;Toduang Biso Rimbo Piako;Pebaun Hilir/KM
14;Mahkota Alam Gunuong;Pl Busuk Jaya/INM
15;Bintang Emas Cahaya Intan 2023;Tanjung/HK
16;Nago Sati Paboun;Pebaun Hulu/KM
17;Onggang Sati Ghimbo Bunian;Koto Kari/KT
18;Untuang Sakato Tuah Nagoghi;Tj Medan/CRT
19;Montiko Limbek Putieh;Pl Godang Kari/KT
20;Carano Kuansing;Koto Tuo Kopah/KT
21;Merak Jingga;Sawah/KT
22;Buayo Danou;Bandar Alai/KT
23;Pangeran STM;Koto Taluk/KT
24;Selendang Putie Bukit Keramat;Teluk Beringin/GT
25;Tuah Putri Bungsu Selingkung Alam;Sei GtTengah/INHU
26;Putri Anggun Sibiran Tulang;Banjar Padang/KM
27;Pematang Putui Rajo Bukik Bunian;Lb Ramo/KM
28;Rajo Tunggal Rimbo Binuang;Seb Taluk/KT
29;Bujang Gaga Cahayo Nagoghi;Pl Panjang/CRT
30;Tuah Datuk Keramat Imbang Di Alam;Pasir Penyu/INHU
31;Putra Sulung Indragiri;Alang Kepayang/INHU
32;Sikocik Molik Sitampan Gagah;Redang/INHU
33;Mahkota Alam Bukik Piramid;Pantai/KM
34;Tuah Datuak Sandiang Majo Pani;Mudik Ulo/HK
35;Tuah Kalajengking Muda Indragiri 2024;Danau Baru/INHU
36;Tuok Kasang Panglimo Rajo;Ks Lm Sundai/ KHS
37;Panji Sati Rantau Kuantan;Tbr Panjang/GT
38;Laskar Mudo Parisai Nagori;Pasar Baru/PGN
39;Tuah Kalajengking Muda Indragiri 2014;Danau Baru/INHU
40;Pulau Bertuah;Tambak/INHU
41;Endang Rumus;Bj Guntung/KM
42;Sijontiak Lawuik Pulau Tanamo;Pl Jambu/CRT
43;Sembilu Tolang Soriek Batuah;Pl Panjang Hulu/IN
44;Rajo Mudo;Pl Deras/PGN
45;Putri Bungsu Sialang Puako;Koto/INHU
46;Sari Jadi Gementar Alam;Pl Baralo/ KHS
47;Simpati Rajo Bungsu;Pl Aro/KT
48;Gempar Alam Tuah Nagori;Banjar Nan Tigo/INM
49;Jurangan Kuantan;Seb Gunung/GT
50;Tuah Putri Rajo Duyuang;Gunung/GT
51;Silancar Air Raja Imbang Laut;Teluk Pauh/PGN
52;Olang Barantai;Padang Kunik/PGN
53;Dubalang Pangulu Rajo;Pl Kopung/SR
54;7 Putri Tanjung Sialang;Rengat Barat/INHU
55;Cakaran Garuda Muda;Sei Alah/HK
56;9 Langkah Putri Samudera 2024;Banjar Benai/BNI
57;Atom Baru;Simandolak/BNI
58;Panglimo Rimbo Piako;Pekan Heran/INHU
59;Bintang Emas Cahaya Intan 2018;Tanjung/HK
60;Gurindam 12 Petuah Nagori;Pl Panjang Hulu/IN
61;Tuah Keramat Bukit Embun;Gumanti/INHU
62;Putri Sati Rimbo Piako;Kasang/KM
63;Olang Buas;Kntn Tenang/INHU
64;Panglima Podang Bekaghat J.H;Tambak/INHU
65;Selendang Puti Rano Biso;Beringin Taluk/KT
66;Ratu Sialang;Bukit Kauman/KM
67;Tuah Panglimo Sati;Toar/GT
68;Sang Ratu Helmina;Koto Kombu/HK
69;Panglima Tasik Indang Bunian;Kp Pulau/INHU
70;Pendekar Hulu Bukit Tabandang;Lb Ambacang/HK
71;Toduang Itom Dubalang Sati;Lumbok/ KHS
72;Alam Cahayo Tuah Nagoghi;Sikakak/CRT
73;Tuah Rimbo Dobalang Sati;Sako/PGN
74;Panglimo Hitam Bintang Nagoghi;Ketaping Jaya/INM
75;Putri Kumayang Linduang Daun 2025;Pl Ingu/BNI
76;Tuah Keramat Sialang Soko;Setako Raya/INHU
77;Dewi Angin Hulu Sako;Koto Lb Jambi/KM
78;Linta Jalang 2020;Petapahan/GT
79;Tuah Panglimo Keramat Olang Putih;Btrjl Hulu/INHU
80;Puti Kirana Sonsong Barat;Ds Manggis Kari/KT
81;Tuah Selendang Putri Andini H.N;Btrjl Hilir/INHU
82;Binti Mandi;Pl Kijang/KH
83;Batu Hijau Tuah Negeri;Btrjl Barat/INHU
84;Lancang Kuning Rantau Kuantan;Pl Panjang Hilir/INM
85;Toduang Bakotat;Pauh Angit/PGN
86;Tuah Ratu Bukit Awan;Beringin Jaya/SR
87;Raja Laut;Sei Sorik/ KHS
88;Tuah Koghi Dubalang Ghajo 2025;Pt Gobang Kari/KT
89;Singa Ngarai;Pl Kalimanting/BNI
90;Agung Kuantan Kualo Ronangan;Pl Tongah/BNI
91;Siluman Ulagh Bidai Lubuk Patin;Katipo Pura/INHU
92;Halilintar Gelombang Cahaya Putih;Sei Kelelawar/HK
93;Lompatan Keramat Panjang;Pl Baru Kopah/KT
94;Bomber;Siberakun/BNI
95;Rajo Tunggal;Seb Taluk/KT
96;Dek Lasak Untuong Jadi;Seb Pl Busuk/INM
97;Rimbo Sakti Saiyo Batuah;Prhtn Luas/LTD
98;Ngiang Kuantan Cahayo Nagori;Kampung Baru/GT
99;Sutan Nan Garang;Pl Kumpai/PGN
100;Sultan Muda;Pauhranap/INHU
101;Pendekar Mudo;Seb Pantai/KM
102;Tuah Inayan Mondulang Untuang;Pl Aro/KT
103;Selendang Putri Danau Seroja;Tj Simandolak/BNI
104;Mahkota Ghajo Bujang Danau Pauh;Lb Sitarak/INHU
105;Pejuang Muda Danau Kompe;Benai Kecil/BNI
106;Limbago Sati Rantau Kuantan;Kopah/KT
107;Telabang Sati Miyor Dubalang Hitam;Kamang Baru/SBR
108;Toduang Kuantan;Tanah Bekali/PGN
109;Untung Bertuah;Danau Baru/INHU
110;Palimo Olang Putie;Sei Alah/HK
111;Bintang Medan Kuansing;Sei Jering/KT
112;Rawang Udang;Talontam/BNI
113;Langkah Siluman Buayo Danou 2024;Sitorajo Kari/KT
114;Putri Mahkota Bunga Setangkai;Sigaruntang/INM
